school_id,school_name,group
B1,GHS BHAIR KALYAL,A
G1,GGES BHAIR KALYAL,A
B2,GHS DARA KIAL,A
G2,GGES BARKI BADHAL,B
B3,GHS DAULTALA,A
G3,GGES JAND MEHLU,A
B4,GHS DHOK PANAH,B
G4,GGHS DAULTALA,B
B5,GHSS DEVI,A
G5,GGHS DEVI,B
B6,GHS Dhong,A
G6,GGHS DHONG,A
B7,GHS GULYANA,B
G7,GGHS GULYANA,B
B8,GHS JATLI,A
G8,GGHS JATLI,B
B9,GHS NABAN JANJUA,B
G9,GGHS JHANDA GUJAR KHAN,B
B10,GHS MACHHIA,B
G10,GGHS JHONGAL,B
B11,GHS MOHRA NOORI,B
G11,GGHMS MOHRA NOORI,B
B12,GHSS MC GUJAR KHAN,B
G12,GGHS MC GUJAR KHAN,A
B13,GHS NIRALI,B
G13,GGHS MIANA MOHRA,A
B14,GHS QADRIA GUJAR KHAN,B
G14,GGHS MOHRA BURJ,A
B15,GHS RAMAN,A
G15,GGHS RAMAN,A
B16,GHS SASRAL,A
G16,GGHS SASRAL,A
B17,GHS SUKHO,A
G17,GGHS SUKHO,A
B18,GHS Islamia Gujjar Khan,A
G18,GGHS NO. 1 GUJAR KHAN,B
B19,GHSS KAUNTRILA,B
G19,GGHMS KAUNTRILA,A
B20,GHS Dora Budhal,B
G20,GGHS MANGHOT,B
