outcome_measure,total_score_variable,number_of_items,n_complete_cases,cronbach_alpha,missing_items
PHQ9,phq9a_-phq9a_total,9,593,0.7844,
PSC,psc_-psc_total,35,593,0.8718,
RCADS,rcads_-rcads_total,25,593,0.9131,
DSM-5,dsm5_-dsm5_total,22,593,0.8939,
Somatic,somatic_-somatic_total,8,593,0.6952,
WEMWBS,wemwbs_-wemwbs_total,7,593,0.7646,
SPSI,spsi_-spsi_total,25,593,0.8252,
IBS,ibs_-ibs_total,4,593,0.6998,
BBSCQ,bbscq_-bbscq_total,28,593,0.8249,
Self Stigma,self_stigma_-stgt_total,5,593,0.6948,
Psychlops-Post,psychlops_post_-psy_total,4,57,0.7753,
